file,category,confidence,Ruta,Fecha,Hora,Datetime,FechaHora,Rafaga
S4-a- (2193).JPG,animal,0.846,Muestreo ct sauce/CT S 2023/S4/S4-a- (2193).JPG,2023-02-23,10:13:46,2023-02-23 10:13:46,2023-02-23 10:13:46,503
S4-a- (2194).JPG,animal,0.909,Muestreo ct sauce/CT S 2023/S4/S4-a- (2194).JPG,2023-02-23,10:13:53,2023-02-23 10:13:53,2023-02-23 10:13:53,504
S4-a- (2195).JPG,animal,0.914,Muestreo ct sauce/CT S 2023/S4/S4-a- (2195).JPG,2023-02-23,10:13:54,2023-02-23 10:13:54,2023-02-23 10:13:54,505
S4-a- (2196).JPG,animal,0.909,Muestreo ct sauce/CT S 2023/S4/S4-a- (2196).JPG,2023-02-23,10:13:54,2023-02-23 10:13:54,2023-02-23 10:13:54,506
S4-a- (2197).JPG,animal,0.845,Muestreo ct sauce/CT S 2023/S4/S4-a- (2197).JPG,2023-02-23,10:14:27,2023-02-23 10:14:27,2023-02-23 10:14:27,507
S4-a- (2198).JPG,animal,0.864,Muestreo ct sauce/CT S 2023/S4/S4-a- (2198).JPG,2023-02-23,10:14:27,2023-02-23 10:14:27,2023-02-23 10:14:27,508
S4-a- (2199).JPG,animal,0.861,Muestreo ct sauce/CT S 2023/S4/S4-a- (2199).JPG,2023-02-23,10:14:27,2023-02-23 10:14:27,2023-02-23 10:14:27,509
S4-a- (2200).JPG,animal,0.886,Muestreo ct sauce/CT S 2023/S4/S4-a- (2200).JPG,2023-02-23,10:15:07,2023-02-23 10:15:07,2023-02-23 10:15:07,510
S4-a- (2201).JPG,animal,0.866,Muestreo ct sauce/CT S 2023/S4/S4-a- (2201).JPG,2023-02-23,10:15:07,2023-02-23 10:15:07,2023-02-23 10:15:07,511
S4-a- (2202).JPG,animal,0.888,Muestreo ct sauce/CT S 2023/S4/S4-a- (2202).JPG,2023-02-23,10:15:08,2023-02-23 10:15:08,2023-02-23 10:15:08,512
S4-a- (2203).JPG,animal,0.894,Muestreo ct sauce/CT S 2023/S4/S4-a- (2203).JPG,2023-02-23,10:15:33,2023-02-23 10:15:33,2023-02-23 10:15:33,513
